direction,chrf++,spBLEU(spm-200),spBLEU(spm-100)
tgl_Latn-khm_Khmr,34.6,20.2,19.3
tgl_Latn-kik_Latn,32.3,11.6,17.6
tgl_Latn-kin_Latn,45.3,22.3,27.7
tgl_Latn-kir_Cyrl,41.3,23.8,26.1
tgl_Latn-kmb_Latn,24.8,4.4,5.6
tgl_Latn-kmr_Latn,36.4,17,18.8
tgl_Latn-knc_Arab,9.8,5.5,5.6
tgl_Latn-knc_Latn,25.9,6.7,7.2
tgl_Latn-kon_Latn,44.4,18,21.7
tgl_Latn-kor_Hang,30,21.4,23
tgl_Latn-lao_Laoo,42.6,26.2,29.7
tgl_Latn-lij_Latn,44,27.3,27.8
tgl_Latn-lim_Latn,40.8,18.4,18.5
tgl_Latn-lin_Latn,46.5,19.4,22.8
tgl_Latn-lit_Latn,48.5,28.4,28.4
tgl_Latn-lmo_Latn,31.4,8.6,8.6
tgl_Latn-ltg_Latn,43.3,25,26.8
tgl_Latn-ltz_Latn,47.2,27,29
tgl_Latn-lua_Latn,33.8,9.2,11.2
tgl_Latn-lug_Latn,36.8,11.6,13.9
tgl_Latn-luo_Latn,36.9,13.6,16.3
tgl_Latn-lus_Latn,36.2,13.6,15.6
tgl_Latn-lvs_Latn,48,27.6,28.1
tgl_Latn-mag_Deva,47.5,28.4,31
tgl_Latn-mai_Deva,37.2,18.2,23.2
tgl_Latn-mal_Mlym,43.9,29.9,29.8
tgl_Latn-mar_Deva,41.7,24.2,25.3
tgl_Latn-min_Latn,47.3,23.2,25.7
tgl_Latn-mkd_Cyrl,53.7,34.1,33.8
tgl_Latn-mlt_Latn,53.2,32.9,38.9
tgl_Latn-mni_Beng,34.8,23.3,34.2
tgl_Latn-mos_Latn,22.8,5.8,9.4
tgl_Latn-mri_Latn,42,18.6,20.9
tgl_Latn-mya_Mymr,27.8,13.8,16.9
tgl_Latn-nld_Latn,50.2,29.3,28.1
tgl_Latn-nno_Latn,46,24.5,24.4
tgl_Latn-nob_Latn,51.3,29.5,28.8
tgl_Latn-npi_Deva,39.9,23,23.7
tgl_Latn-nso_Latn,47.7,23.5,26.7
tgl_Latn-nus_Latn,28.2,13.2,16.5
tgl_Latn-nya_Latn,42,15.8,20.8
tgl_Latn-oci_Latn,49.8,30.5,31.2
tgl_Latn-ory_Orya,39.9,24.4,28.4
tgl_Latn-pag_Latn,45.1,19.1,20.8
tgl_Latn-pan_Guru,41.7,28.8,31.6
tgl_Latn-pap_Latn,52.5,33.5,34.8
tgl_Latn-pbt_Arab,35.2,19,18.5
tgl_Latn-pes_Arab,45.2,29,28.3
tgl_Latn-plt_Latn,46.5,21.9,24.7
tgl_Latn-pol_Latn,43.9,26.8,24.1
tgl_Latn-por_Latn,58.6,41.1,39.9
tgl_Latn-prs_Arab,45.9,25.8,25.3
tgl_Latn-quy_Latn,26,5.3,6.5
tgl_Latn-ron_Latn,52.1,33.4,31.8
tgl_Latn-run_Latn,39.8,17.5,21.5
tgl_Latn-rus_Cyrl,49.3,32.6,30
tgl_Latn-sag_Latn,34.7,9.9,12.2
tgl_Latn-san_Deva,23.7,6.7,8.9
tgl_Latn-sat_Olck,22.7,14.8,16.3
tgl_Latn-scn_Latn,41.3,19,19.8
tgl_Latn-shn_Mymr,32.5,13.4,22.7
tgl_Latn-sin_Sinh,38,29.6,26.2
tgl_Latn-slk_Latn,50,32.3,31.5
tgl_Latn-slv_Latn,49.6,30.3,29.9
tgl_Latn-smo_Latn,47,23.7,28
tgl_Latn-sna_Latn,41.2,17.6,21.5
tgl_Latn-snd_Arab,41,25.1,29.4
tgl_Latn-som_Latn,40.4,16.3,16.4
tgl_Latn-sot_Latn,43.2,18,21.7
tgl_Latn-spa_Latn,49.2,27.7,27.2
tgl_Latn-srd_Latn,49.8,29.2,30.6
tgl_Latn-srp_Cyrl,50.8,32.5,32.6
tgl_Latn-ssw_Latn,41,17.4,21.5
tgl_Latn-sun_Latn,41.9,18.3,19.4
tgl_Latn-swe_Latn,56.2,37.2,35.7
tgl_Latn-swh_Latn,53.2,30.8,31.7
tgl_Latn-szl_Latn,43.5,26.8,28.5
tgl_Latn-tam_Taml,47.6,29.7,29.7
tgl_Latn-taq_Latn,22.4,4.5,5.3
tgl_Latn-taq_Tfng,16.5,5.5,5.7
tgl_Latn-tat_Cyrl,43.8,26.5,35
tgl_Latn-tel_Telu,47.7,32.5,33.8
tgl_Latn-tgk_Cyrl,45.9,29.3,33.3
tgl_Latn-tha_Thai,38.8,31,21.4
tgl_Latn-tir_Ethi,22.1,14,16.6
tgl_Latn-tpi_Latn,41.2,17,21.8
tgl_Latn-tsn_Latn,46,22.9,26.3
tgl_Latn-tso_Latn,47.5,23.4,29.5
tgl_Latn-tuk_Latn,38,18.3,23.7
tgl_Latn-tum_Latn,34.3,12.4,16.6
tgl_Latn-tur_Latn,50.5,32.2,31
tgl_Latn-twi_Latn,35.5,13.4,18.8
tgl_Latn-tzm_Tfng,29.6,18,23.2
tgl_Latn-uig_Arab,28.8,14.7,24
tgl_Latn-ukr_Cyrl,48.7,31.5,30.3
tgl_Latn-umb_Latn,25.2,3.5,4.8
tgl_Latn-urd_Arab,42.9,24.8,24.3
tgl_Latn-uzn_Latn,45.5,26.3,28.8
tgl_Latn-vec_Latn,44.7,21.5,21.9
tgl_Latn-vie_Latn,55.3,38.1,37.7
tgl_Latn-war_Latn,53.3,29.9,31.7
tgl_Latn-wol_Latn,28.8,9.3,11.1
tgl_Latn-xho_Latn,44.1,21.2,24.8
tgl_Latn-ydd_Hebr,33.6,13.3,19.6
tgl_Latn-yor_Latn,23.9,8,11.2
tgl_Latn-yue_Hant,15,12.5,10.9
tgl_Latn-zho_Hans,19.4,21.6,18.4
tgl_Latn-zho_Hant,11.9,10.3,8.6
tgl_Latn-zsm_Latn,59.8,36.7,36.5
tgl_Latn-zul_Latn,48.2,25.9,30.1
tha_Thai-ace_Arab,15.7,4,4.2
tha_Thai-ace_Latn,31.4,7.4,8.4
tha_Thai-acm_Arab,20.6,4.8,3.4
tha_Thai-acq_Arab,31.1,15.2,12
tha_Thai-aeb_Arab,28.2,12,9.1
tha_Thai-afr_Latn,48,24.8,25
tha_Thai-ajp_Arab,37,20.9,16.9
tha_Thai-aka_Latn,27.9,7.7,11.4
tha_Thai-als_Latn,46.1,25.1,25.2
tha_Thai-amh_Ethi,29.7,21.7,23.8
tha_Thai-apc_Arab,36,20.2,16.7
tha_Thai-arb_Arab,42.3,26.6,22.5
tha_Thai-ars_Arab,35.5,19.9,16.2
tha_Thai-ary_Arab,30,14,10.8
tha_Thai-arz_Arab,36,20,16.4
tha_Thai-asm_Beng,30.5,17,21.4
tha_Thai-ast_Latn,44.5,21.2,22.7
tha_Thai-awa_Deva,31.7,14.5,16.4
tha_Thai-ayr_Latn,29.1,7,10.7
tha_Thai-azb_Arab,19.7,3.9,3.5
tha_Thai-azj_Latn,37.2,18.7,16.7
tha_Thai-bak_Cyrl,40.1,21.8,33.4
tha_Thai-bam_Latn,26.6,6.3,9.2
tha_Thai-ban_Latn,37.9,12.6,14.4
tha_Thai-bel_Cyrl,36.3,21,18.5
tha_Thai-bem_Latn,32.4,9,11
tha_Thai-ben_Beng,39.1,24.4,25.9
tha_Thai-bho_Deva,34.7,15.7,18.5
tha_Thai-bjn_Arab,16.1,4,4.1
tha_Thai-bjn_Latn,41,14.3,14.8
tha_Thai-bod_Tibt,27,6.5,1.7
tha_Thai-bos_Latn,45.5,24.9,23.3
tha_Thai-bug_Latn,29.6,6.4,7.8
tha_Thai-bul_Cyrl,49.3,31.2,29
tha_Thai-cat_Latn,49.2,29.5,29.6
tha_Thai-ceb_Latn,47.7,23.2,24.7
tha_Thai-ces_Latn,43.5,26.1,24.8
tha_Thai-cjk_Latn,22.6,3,3.7
tha_Thai-ckb_Arab,37.5,17.1,19.4
tha_Thai-crh_Latn,38.5,18.6,20.8
tha_Thai-cym_Latn,49.3,31.7,32.6
tha_Thai-dan_Latn,50.1,28.9,28.2
tha_Thai-deu_Latn,48.3,27.9,26
tha_Thai-dik_Latn,21.4,4.1,5.6
tha_Thai-dyu_Latn,17.8,2.4,2.6
tha_Thai-dzo_Tibt,32.1,11.1,3.2
tha_Thai-ell_Grek,42,27.2,24.3
tha_Thai-eng_Latn,57.8,36.9,36
tha_Thai-epo_Latn,41.8,20.8,22.2
tha_Thai-est_Latn,44.3,22.9,22.8
tha_Thai-eus_Latn,39.7,18,19.1
tha_Thai-ewe_Latn,34.9,13.3,18.2
tha_Thai-fao_Latn,38.7,19.3,20.6
tha_Thai-fij_Latn,43.6,19.1,22.9
tha_Thai-fin_Latn,43.2,22.5,21.3
tha_Thai-fon_Latn,19.2,5.1,8.3
tha_Thai-fra_Latn,52.7,34,32.9
tha_Thai-fur_Latn,42,22.5,24.3
tha_Thai-fuv_Latn,21.1,3.7,4
tha_Thai-gaz_Latn,33.5,9.7,11.5
tha_Thai-gla_Latn,43,20.8,24.7
tha_Thai-gle_Latn,45.5,25.8,29.3
tha_Thai-glg_Latn,47.7,25.8,26.5
tha_Thai-grn_Latn,30.4,11.1,13.4
tha_Thai-guj_Gujr,40.5,23.7,27.3
tha_Thai-hat_Latn,42.3,19.4,21.9
tha_Thai-hau_Latn,44.1,20.4,22
tha_Thai-heb_Hebr,42.2,26.6,24.5
tha_Thai-hin_Deva,43.4,24.8,26.7
tha_Thai-hne_Deva,39.1,19.3,23.5
tha_Thai-hrv_Latn,45.8,25.3,23.6
tha_Thai-hun_Latn,43.7,24.7,22.8
tha_Thai-hye_Armn,42.1,27.1,26.6
tha_Thai-ibo_Latn,36.7,15.7,20.8
tha_Thai-ilo_Latn,44.6,19,21.1
tha_Thai-ind_Latn,55.1,30.4,30.1
tha_Thai-isl_Latn,40.3,22.7,22
tha_Thai-ita_Latn,46.5,25.2,24.6
tha_Thai-jav_Latn,44.2,18.3,20.5
tha_Thai-jpn_Jpan,21.4,14.4,17.7
tha_Thai-kab_Latn,30.2,12.1,14.1
tha_Thai-kac_Latn,35,12.2,13.9
tha_Thai-kam_Latn,24.6,5.1,6.3
tha_Thai-kan_Knda,42.6,26.9,28
tha_Thai-kas_Arab,26.5,12.3,13.6
tha_Thai-kas_Deva,14.1,3,3.8
tha_Thai-kat_Geor,40.7,25.4,23.6
tha_Thai-kaz_Cyrl,40.9,21.8,22.6
tha_Thai-kbp_Latn,25.4,8.9,16.3
tha_Thai-kea_Latn,35,14.2,14.9
tha_Thai-khk_Cyrl,36.7,19.5,16.8
tha_Thai-khm_Khmr,33.3,19.5,18.3
tha_Thai-kik_Latn,30.7,10.1,15.9
tha_Thai-kin_Latn,42.4,19,24.3
tha_Thai-kir_Cyrl,38.4,20.2,22.7
tha_Thai-kmb_Latn,24.2,3.9,5.1
tha_Thai-kmr_Latn,33.6,14.2,15.8
tha_Thai-knc_Arab,9.6,5,5.1
tha_Thai-knc_Latn,23.8,5.1,5.7
tha_Thai-kon_Latn,41.7,15.8,20.2
tha_Thai-kor_Hang,27.6,19.4,20.9
tha_Thai-lao_Laoo,40.6,26,29.7
tha_Thai-lij_Latn,38.6,21.2,21.7
tha_Thai-lim_Latn,35,13.5,13.5
tha_Thai-lin_Latn,43.8,17,20.6
tha_Thai-lit_Latn,44.7,23.7,23.5
tha_Thai-lmo_Latn,28.1,6.5,6.5
tha_Thai-ltg_Latn,39.1,20.7,22.5
tha_Thai-ltz_Latn,41.5,20.8,22.7
tha_Thai-lua_Latn,32.3,7.4,9.4
tha_Thai-lug_Latn,34.3,9.5,11.8
tha_Thai-luo_Latn,34.8,11.4,14.1
tha_Thai-lus_Latn,34.5,12.2,14.4
tha_Thai-lvs_Latn,44,22.9,23.4
tha_Thai-mag_Deva,42.4,22.7,25.3
tha_Thai-mai_Deva,32.6,13.7,18.3
tha_Thai-mal_Mlym,40.7,25.9,26.1
tha_Thai-mar_Deva,36.8,19,19.9
tha_Thai-min_Latn,43.2,18.1,20.6
tha_Thai-mkd_Cyrl,48.1,27.5,27.1
tha_Thai-mlt_Latn,47.1,30.9,35.7
tha_Thai-mni_Beng,31.3,19.5,30.1
tha_Thai-mos_Latn,22.1,5.3,8.7
tha_Thai-mri_Latn,39.8,16.3,19
tha_Thai-mya_Mymr,26.2,12.2,15.1
tha_Thai-nld_Latn,46,24.1,23.1
tha_Thai-nno_Latn,38,16.6,16.5
tha_Thai-nob_Latn,45.7,22.7,22
tha_Thai-npi_Deva,37.9,19.8,20.7
tha_Thai-nso_Latn,43.4,18.6,22.4
tha_Thai-nus_Latn,26.3,11.7,14.8
tha_Thai-nya_Latn,39.7,13.2,18.5
tha_Thai-oci_Latn,42.8,23,23.7
tha_Thai-ory_Orya,35.1,19.9,23.3
tha_Thai-pag_Latn,40.7,16.2,18
tha_Thai-pan_Guru,38.6,24.9,27.6
tha_Thai-pap_Latn,45.1,24.4,25.4
tha_Thai-pbt_Arab,32,15.9,15.5
tha_Thai-pes_Arab,40.6,23,22.3
tha_Thai-plt_Latn,45.2,19.3,22.3
tha_Thai-pol_Latn,40.7,23,20.5
tha_Thai-por_Latn,50.4,30.3,29.1
tha_Thai-prs_Arab,41.2,20.5,19.8
tha_Thai-quy_Latn,25.5,4.7,6.2
tha_Thai-ron_Latn,47.4,28.2,26.5
tha_Thai-run_Latn,37.1,15.2,19
tha_Thai-rus_Cyrl,45.6,28.1,25.5
tha_Thai-sag_Latn,33,8.5,10.7
tha_Thai-san_Deva,22.3,5.7,7.8
tha_Thai-sat_Olck,22.6,14.4,15.4
tha_Thai-scn_Latn,37.1,14.9,15.6
tha_Thai-shn_Mymr,31.2,12.6,21.6
tha_Thai-sin_Sinh,34.5,25.6,22.3
tha_Thai-slk_Latn,44.3,25.3,24.7
tha_Thai-slv_Latn,44.5,24.4,24.1
tha_Thai-smo_Latn,44.2,20.3,24.5
tha_Thai-sna_Latn,38.7,14.6,18.8
tha_Thai-snd_Arab,36,19.7,24
tha_Thai-som_Latn,36.7,12.7,12.7
tha_Thai-sot_Latn,40.3,15.1,18.4
tha_Thai-spa_Latn,45.2,23,22.4
tha_Thai-srd_Latn,42.8,21.5,22.7
tha_Thai-srp_Cyrl,45.3,26,26
tha_Thai-ssw_Latn,37.8,13.9,17.9
tha_Thai-sun_Latn,39.4,15.3,16.5
tha_Thai-swe_Latn,49.1,28.8,27
tha_Thai-swh_Latn,48.6,24.6,25.4
tha_Thai-szl_Latn,37.5,20.3,21.9
tha_Thai-tam_Taml,43.3,24.5,24.6
tha_Thai-taq_Latn,20.7,3.7,4.4
tha_Thai-taq_Tfng,15.1,4.4,4.9
tha_Thai-tat_Cyrl,39.7,22,30.6
tha_Thai-tel_Telu,41.8,26,27.4
tha_Thai-tgk_Cyrl,41.8,24.6,28.5
tha_Thai-tgl_Latn,49.7,24.7,26.1
tha_Thai-tir_Ethi,21.8,13.5,15.9
tha_Thai-tpi_Latn,38.7,14.4,19.1
tha_Thai-tsn_Latn,42.4,18.5,22.2
tha_Thai-tso_Latn,43,18.6,24.6
tha_Thai-tuk_Latn,34.7,15.7,20.6
tha_Thai-tum_Latn,32,10.3,14.1
tha_Thai-tur_Latn,44.8,25.1,23.9
tha_Thai-twi_Latn,32.9,11.1,16.4
tha_Thai-tzm_Tfng,27.4,15.9,20.5
tha_Thai-uig_Arab,27.7,13.4,22.8
tha_Thai-ukr_Cyrl,43.3,24.9,23.7
tha_Thai-umb_Latn,25.1,3.1,4.4
tha_Thai-urd_Arab,39.3,21.2,20.6
tha_Thai-uzn_Latn,40.7,21.2,23.6
tha_Thai-vec_Latn,39.1,15.9,16
tha_Thai-vie_Latn,50.9,32.4,31.9
tha_Thai-war_Latn,44.6,19.6,21
tha_Thai-wol_Latn,26,7.4,9
tha_Thai-xho_Latn,40.1,16.7,20.5
tha_Thai-ydd_Hebr,30.9,12.2,17.8
tha_Thai-yor_Latn,24.7,10.2,13.8
tha_Thai-yue_Hant,14.2,11.4,9.7
tha_Thai-zho_Hans,18,20.1,16.6
tha_Thai-zho_Hant,11.3,9.7,8
tha_Thai-zsm_Latn,53.8,28.1,27.9
tha_Thai-zul_Latn,43.1,19.8,23.9
tir_Ethi-ace_Arab,11.7,2.5,2.6
tir_Ethi-ace_Latn,29.6,6.3,7.4
tir_Ethi-acm_Arab,21.9,5.8,4.2
tir_Ethi-acq_Arab,28,13.1,10.2
tir_Ethi-aeb_Arab,27.9,12.9,10.2
tir_Ethi-afr_Latn,42.9,20.1,20.4
tir_Ethi-ajp_Arab,33.4,17.5,13.9
tir_Ethi-aka_Latn,27.7,7,10.6
tir_Ethi-als_Latn,41.2,20.4,20.5
tir_Ethi-amh_Ethi,29.3,21.1,23.2
tir_Ethi-apc_Arab,32.6,17.2,14.1
tir_Ethi-arb_Arab,38.8,23.1,19.2
tir_Ethi-ars_Arab,32.4,16.8,13.5
tir_Ethi-ary_Arab,29.3,13.4,10.1
tir_Ethi-arz_Arab,32.9,17.1,13.8
tir_Ethi-asm_Beng,28.4,15,19
tir_Ethi-ast_Latn,37.3,15.7,17
tir_Ethi-awa_Deva,28.4,12.4,13.6
tir_Ethi-ayr_Latn,27.5,6.1,9.4
tir_Ethi-azb_Arab,19.7,3.6,3.2
tir_Ethi-azj_Latn,34.2,15.7,13.6
tir_Ethi-bak_Cyrl,34.9,17.6,27.9
tir_Ethi-bam_Latn,25.4,5.7,8.4
tir_Ethi-ban_Latn,33.9,10,11.8
tir_Ethi-bel_Cyrl,32.4,17.3,15.1
tir_Ethi-bem_Latn,30.1,7.6,9.3
tir_Ethi-ben_Beng,35.7,20.8,22
tir_Ethi-bho_Deva,32,13.5,15.8
tir_Ethi-bjn_Arab,9.5,2.4,2.4
tir_Ethi-bjn_Latn,36.7,11.2,11.4
tir_Ethi-bod_Tibt,25.9,5.9,1.3
tir_Ethi-bos_Latn,40.1,19.8,18.4
tir_Ethi-bug_Latn,27.2,5.4,6.5
tir_Ethi-bul_Cyrl,43.2,24.3,22.3
tir_Ethi-cat_Latn,44.2,24.7,24.8
tir_Ethi-ceb_Latn,44.5,19.8,21.5
tir_Ethi-ces_Latn,38.3,20.9,19.7
tir_Ethi-cjk_Latn,20.8,2.3,2.9
tir_Ethi-ckb_Arab,34.7,14.6,16.5
tir_Ethi-crh_Latn,35.6,16.1,18.1
tir_Ethi-cym_Latn,43.3,26,26.6
tir_Ethi-dan_Latn,44,22.8,22.2
tir_Ethi-deu_Latn,42.6,22.1,20.5
tir_Ethi-dik_Latn,20.4,3.8,5.3
tir_Ethi-dyu_Latn,16.8,2,2
tir_Ethi-dzo_Tibt,30.3,9.9,3.2
tir_Ethi-ell_Grek,36.4,21.5,18.9
tir_Ethi-eng_Latn,50.4,29.3,28.7
tir_Ethi-epo_Latn,42.2,21.2,22.5
tir_Ethi-est_Latn,39.1,18.1,18.1
tir_Ethi-eus_Latn,37.1,15.8,16.5
tir_Ethi-ewe_Latn,32.1,11.3,15.9
tir_Ethi-fao_Latn,34.6,15.2,16.3
tir_Ethi-fij_Latn,40.3,16.4,19.6
tir_Ethi-fin_Latn,38.6,17.8,16.6
tir_Ethi-fon_Latn,18.6,4.9,8.1
tir_Ethi-fra_Latn,46.5,27.4,26.4
tir_Ethi-fur_Latn,36.2,17.4,18.7
tir_Ethi-fuv_Latn,20.7,3.9,4.3
tir_Ethi-gaz_Latn,32.6,9.1,10.8
tir_Ethi-gla_Latn,38.5,16.3,19.6
tir_Ethi-gle_Latn,40.1,20.6,23.5
tir_Ethi-glg_Latn,42.6,20.9,21.6
tir_Ethi-grn_Latn,28.2,9.7,11.7
tir_Ethi-guj_Gujr,36.6,20.6,23.6
tir_Ethi-hat_Latn,38.4,16.7,18.8
tir_Ethi-hau_Latn,39.7,16.7,18.5
tir_Ethi-heb_Hebr,37.7,22.1,20.3
tir_Ethi-hin_Deva,39.2,21.3,22.7
tir_Ethi-hne_Deva,35.3,16.2,20
tir_Ethi-hrv_Latn,40.2,19.8,18.3
tir_Ethi-hun_Latn,38.5,19.7,18
tir_Ethi-hye_Armn,38,22.7,22.1
tir_Ethi-ibo_Latn,33.3,12.8,17.2
tir_Ethi-ilo_Latn,41.6,16.3,18.1
tir_Ethi-ind_Latn,48,23.2,22.9
tir_Ethi-isl_Latn,36.5,18.9,18.1
tir_Ethi-ita_Latn,41.5,20.6,19.9
tir_Ethi-jav_Latn,39.8,14.6,16.8
tir_Ethi-jpn_Jpan,17.6,11.9,14.8
tir_Ethi-kab_Latn,28.8,10.8,12.8
tir_Ethi-kac_Latn,34.5,11.5,13.3
tir_Ethi-kam_Latn,21.8,3.6,4.5
tir_Ethi-kan_Knda,39.1,23.2,24.2
tir_Ethi-kas_Arab,24.4,11.3,12.6
tir_Ethi-kas_Deva,13.9,3,3.8
tir_Ethi-kat_Geor,37.4,22,20.2
tir_Ethi-kaz_Cyrl,38,18.4,19
tir_Ethi-kbp_Latn,21.2,6.2,12.3
tir_Ethi-kea_Latn,29.9,11.1,11.6
tir_Ethi-khk_Cyrl,34.7,17.5,14.9
tir_Ethi-khm_Khmr,28.6,15.1,14
tir_Ethi-kik_Latn,23.9,6.1,9.7
tir_Ethi-kin_Latn,38.5,15.5,20.2
tir_Ethi-kir_Cyrl,35.5,17.5,19.7
tir_Ethi-kmb_Latn,21.1,2.6,3.5
tir_Ethi-kmr_Latn,30.9,12.2,13.6
tir_Ethi-knc_Arab,9.3,5,5.1
tir_Ethi-knc_Latn,22.6,4.6,5.1
tir_Ethi-kon_Latn,39.2,13.2,17.4
tir_Ethi-kor_Hang,23.5,15.6,16.8
tir_Ethi-lao_Laoo,35.2,19.1,21.9
tir_Ethi-lij_Latn,33.9,17.5,17.8
tir_Ethi-lim_Latn,32.5,11.8,11.8
tir_Ethi-lin_Latn,41.4,15.2,18.6
tir_Ethi-lit_Latn,39.2,18.6,18.5
tir_Ethi-lmo_Latn,26.1,5.5,5.5
tir_Ethi-ltg_Latn,33.5,15.7,17.3
tir_Ethi-ltz_Latn,38.2,18.2,19.8
tir_Ethi-lua_Latn,30.6,6.6,8.6
tir_Ethi-lug_Latn,32.1,8.2,10.3
tir_Ethi-luo_Latn,33.1,10.4,12.8
tir_Ethi-lus_Latn,32.2,11,12.8
tir_Ethi-lvs_Latn,38.3,17.6,18
tir_Ethi-mag_Deva,37.5,19,21.2
tir_Ethi-mai_Deva,29.7,11.6,15.5
tir_Ethi-mal_Mlym,37.6,23,23
tir_Ethi-mar_Deva,34.8,17.1,18
tir_Ethi-min_Latn,38,14.3,16.3
tir_Ethi-mkd_Cyrl,42.5,21.8,21.5
tir_Ethi-mlt_Latn,41,24.6,29
tir_Ethi-mni_Beng,29.6,17.9,28
tir_Ethi-mos_Latn,19.6,3.8,7.1
tir_Ethi-mri_Latn,37.2,14.1,16.3
tir_Ethi-mya_Mymr,27.5,13,15.2
tir_Ethi-nld_Latn,41.5,19.6,18.6
tir_Ethi-nno_Latn,35,14,14
tir_Ethi-nob_Latn,40.2,18.1,17.6
tir_Ethi-npi_Deva,34.9,17.5,18.1
tir_Ethi-nso_Latn,40.1,16.1,19.9
tir_Ethi-nus_Latn,24.8,10.7,13.7
tir_Ethi-nya_Latn,36.7,11.4,15.9
tir_Ethi-oci_Latn,38,18.6,19.2
tir_Ethi-ory_Orya,33.6,18.2,21.7
tir_Ethi-pag_Latn,37.9,14.3,16
tir_Ethi-pan_Guru,34.4,21,23.5
tir_Ethi-pap_Latn,38.1,16.6,17.5
tir_Ethi-pbt_Arab,29.7,14.1,13.6
tir_Ethi-pes_Arab,36.7,19.8,19.3
tir_Ethi-plt_Latn,40.5,15.7,18.3
tir_Ethi-pol_Latn,36.3,18.7,16.2
tir_Ethi-por_Latn,45.5,25.7,24.6
tir_Ethi-prs_Arab,36.5,16.7,16.3
tir_Ethi-quy_Latn,24.5,4.1,5.6
tir_Ethi-ron_Latn,42.6,23.7,22
tir_Ethi-run_Latn,34.6,13.1,16.5
tir_Ethi-rus_Cyrl,39.4,21.9,19.4
tir_Ethi-sag_Latn,31.2,7.3,9.4
tir_Ethi-san_Deva,21.4,5.3,7.1
tir_Ethi-sat_Olck,21.7,13.4,14.1
tir_Ethi-scn_Latn,33.5,12.3,12.9
tir_Ethi-shn_Mymr,28.2,10,17.8
tir_Ethi-sin_Sinh,33.4,24.2,21
tir_Ethi-slk_Latn,38.8,20.3,19.7
tir_Ethi-slv_Latn,40.2,20,19.6
tir_Ethi-smo_Latn,40.5,17.1,20.6
tir_Ethi-sna_Latn,35.9,12.4,16.1
tir_Ethi-snd_Arab,34.1,18,22
tir_Ethi-som_Latn,35,11.4,11.5
tir_Ethi-sot_Latn,36.6,12.1,15.2
tir_Ethi-spa_Latn,40.5,18.5,18
tir_Ethi-srd_Latn,39.3,18.3,19.5
tir_Ethi-srp_Cyrl,39.1,20,19.8
tir_Ethi-ssw_Latn,34.7,12.1,15.4
tir_Ethi-sun_Latn,35.9,12.6,13.7
tir_Ethi-swe_Latn,43.3,22.8,21.1
tir_Ethi-swh_Latn,43.6,19.9,20.7
tir_Ethi-szl_Latn,32.9,16,17.5
tir_Ethi-tam_Taml,41.2,22.2,22.2
tir_Ethi-taq_Latn,19.2,3,3.7
tir_Ethi-taq_Tfng,14.8,4.4,4.6
tir_Ethi-tat_Cyrl,37,19.4,27.6
tir_Ethi-tel_Telu,39,23,24
tir_Ethi-tgk_Cyrl,37.7,20.6,24.2
tir_Ethi-tgl_Latn,45.5,20.2,21.5
tir_Ethi-tha_Thai,31.7,22.7,14.2
tir_Ethi-tpi_Latn,35.8,11.9,16.1
tir_Ethi-tsn_Latn,39.3,15.7,19
tir_Ethi-tso_Latn,40.2,16.2,21.8
tir_Ethi-tuk_Latn,31.9,13.1,17.7
tir_Ethi-tum_Latn,28.3,7.6,10.8
tir_Ethi-tur_Latn,40.8,21.5,20.4
tir_Ethi-twi_Latn,30.9,9.4,14.4
tir_Ethi-tzm_Tfng,26.1,15,19.6
tir_Ethi-uig_Arab,31.1,16.5,26.5
tir_Ethi-ukr_Cyrl,37.7,19.5,18.3
tir_Ethi-umb_Latn,24.6,2.7,4
tir_Ethi-urd_Arab,36,17.9,17.2
tir_Ethi-uzn_Latn,36.4,15.2,17.8
tir_Ethi-vec_Latn,35.6,13.5,13.7
tir_Ethi-vie_Latn,44,25.1,24.7
tir_Ethi-war_Latn,41.5,17.4,18.6
tir_Ethi-wol_Latn,24.9,6.8,8.5
tir_Ethi-xho_Latn,36.3,13.8,17.1
tir_Ethi-ydd_Hebr,28.5,10.2,16.6
tir_Ethi-yor_Latn,22.6,9,12.4
tir_Ethi-yue_Hant,12.7,10.4,9.1
tir_Ethi-zho_Hans,16.4,18.1,14.9
tir_Ethi-zho_Hant,10.2,9,7.4
tir_Ethi-zsm_Latn,46.9,21.7,21.3
tir_Ethi-zul_Latn,38.7,16.2,19.8
tpi_Latn-ace_Arab,14.9,3.7,3.9
tpi_Latn-ace_Latn,31.2,8.4,9
tpi_Latn-acm_Arab,14.1,2.2,1.5
tpi_Latn-acq_Arab,28.3,13.6,10.8
tpi_Latn-aeb_Arab,24.1,8.1,6
tpi_Latn-afr_Latn,43.6,21.8,22
tpi_Latn-ajp_Arab,34.3,19,15.5
tpi_Latn-aka_Latn,29.5,8.9,11.7
tpi_Latn-als_Latn,42.2,22.7,22.8
tpi_Latn-amh_Ethi,22.4,16.1,17.4
tpi_Latn-apc_Arab,34.5,19.7,16.4
tpi_Latn-arb_Arab,39.1,24.3,20.5
tpi_Latn-ars_Arab,31.7,17.3,14.3
tpi_Latn-ary_Arab,29.2,13.5,10.7
tpi_Latn-arz_Arab,32.7,16.9,13.6
tpi_Latn-asm_Beng,27,15.1,18.2
tpi_Latn-ast_Latn,41.1,20.2,21.2
tpi_Latn-awa_Deva,24.1,10.9,11.8
